id,url,plant_id,latin_name,phytophthora root rot,determinate habit,dwarfism,plant habit,anthocyanin immature fruit,blossom end shape,calyx constriction,calyx margin,calyx shape,corolla spots,fasciculated,filament color,flowers per axil,fruit corkiness,fruit length,fruit neck constriction,fruit pods per node,fruit position,fruit shape,fruit weight,fruit width,immature fruit color,leaf pubescence,leaf texture,locule number,mature fruit color,node anthocyanin,pedicel position at anthesis,peduncle insertion,seed color,stem anthocyanin,stem color,stem number,stem pubescence,stigma exsertion,days to maturity,accession uniformity,commercial category,fruit persistance,fruit set,male sterility,pungency,plant height,plant width,anther color,corolla color,cotyledon color,peduncle length,wall thickness,meloidogyne hapla egg,meloidogyne hapla gall,degree of pungency,image,bacterial leaf spot,cucumber mosiac virus,tobacco etch virus,tobacco mosaic virus,verticillium wilt,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),capsaicin content,dihydrocpasaicin content,total capsaicinoid content,error,core subset,percent dry weight,beet curly top virus,phytophthora,flower angle,curly top virus,flower habit,fruit color_phy,fruit diameter,fruit surface,immature color,spines,maturation,leaf surface,differential host sets,mosaic virus complex,alfalfa mosaic virus,anthracnose,alpha-linoleic acid (18:3alph),arachidic acid (20:0),behenic acid (22:0),gamma-linoleic acid (18:3gam),linoleic acid (18:2),myristic acid (14:0),oleic acid (18:1),palmitic acid (16:0),palmitoleic acid (16:1),seed oil percentage,stearic acid (18:0),seed shape,seed surface,photoperiod,root knot nematode,southern blight,growth habit,adult stem color,blade pigmentation,bract length in millimeters,branching index,flower color,inflorescence density,inflorescence shape,petiole pigmentation,sex type,terminal inflorescence,hundred seed weight,number of seeds per gram
1012450,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1012450,PI 631128,Capsicum annuum L.,9 - Dead plants,1 - AT LEAST 75% OF FRUITS MATURE AT ONCE,0 - ABSENT,9 - TALL OR UPRIGHT,0 - ABSENT,1 - POINTED,1 - PRESENT,"3 - (1 = SMOOTH, 9 = SERRATE)",1 - CUP SHAPED,0 - ABSENT,1 - PRESENT,1 - WHITE,1,"2 - (0 = NONE, 9 = HIGH)",9,1 - PRESENT,1.0,1 - PENDANT,6 - BELL,130,6,3 - GREEN YELLOW,0 - GLABROUS,1 - SMOOTH,4,2 - RED,1 - PRESENT,1 - PENDANT,"7 - (1 = PROTRUDED, 9 = INSERTED)",1 - STRAW,1 - PRESENT,1 - GREEN,1 - SINGLE,0 - GLABROUS,5 - SAME LEVEL,5 - MEDIUM,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",PIM - PIMIENTO,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"3 - (1 = LOW,  9 = HIGH)",0 - ABSENT,1 - PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209205,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1209205,PI 281306,Capsicum baccatum L. var. baccatum,,0 - ABSENT,,"5 - COMPACT, HEIGHT = WIDTH",0 - ABSENT,M - MIXED,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",1 - CUP SHAPED,2 - YELLOW,0 - ABSENT,1 - WHITE,1,0 - NONE,2,0 - ABSENT,2.0,1 - PENDANT,4 - CONIC,0.6,1,2 - GREEN,0 - GLABROUS,1 - SMOOTH,M,2 - RED,1 - PRESENT,9 - ERECT,"4 - (1 = PROTRUDED, 9 = INSERTED)",1 - STRAW,0 - ABSENT,1 - GREEN,9 - MULTIPLE,M - MIXED,5 - SAME LEVEL,8 - LATE,"5 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",TAB - TABASCO,0 - SEPARATING CALYX (HAS Sp GENE),"5 - (1 = LOW,  9 = HIGH)",0 - ABSENT,1 - PRESENT,70,60,1 - YELLOW,1 - WHITE OR PALE YELLOW,1 - GREEN,2,0.2,6 - 36% to 50% visible egg masses present on root system,6 - 36% to 50% of root system galled,5 - PUNGENT,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225551,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1225551,PI 298654,Capsicum annuum L.,9 - Dead plants,,,"5 - COMPACT, HEIGHT = WIDTH",0 - ABSENT,5 - BLUNT,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",2 - SAUCER SHAPED,0 - ABSENT,0 - ABSENT,1 - WHITE,1,0 - NONE,8,0 - ABSENT,1.0,1 - PENDANT,4 - CONIC,,5,2 - GREEN,,1 - SMOOTH,3,2 - RED,1 - PRESENT,"5 - (1 = PENDANT, 9 = ERECT)",5 - FLAT,1 - STRAW,,1 - GREEN,1 - SINGLE,0 - GLABROUS,5 - SAME LEVEL,8 - LATE,,PIM - PIMIENTO,0 - SEPARATING CALYX (HAS Sp GENE),"2 - (1 = LOW,  9 = HIGH)",,0 - ABSENT,55,60,3 - BLUE,1 - WHITE OR PALE YELLOW,,5,,,,1 - SWEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180150,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1180150,PI 223035,Capsicum annuum L.,9 - Dead plants,,,,,,,,1 - CUP SHAPED,,,,,,4,,1.0,1 - PENDANT,1 - ELONGATE,,2,,,,,2 - RED,,,,,,,,,,5 - MEDIUM,,CHL - CHILI,,"4 - (1 = LOW,  9 = HIGH)",,,70,40,,,,,,,,9 - VERY PUNGENT,,9 - SUSCEPTIBLE,9 - SUSCEPTIBLE,9 - SUSCEPTIBLE,9 - SUSCEPTIBLE,9 - SUSCEPTIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336492,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336492,PI 441556,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,,0 - ABSENT,"5 - COMPACT, HEIGHT = WIDTH",0 - ABSENT,M - MIXED,1 - PRESENT,"2 - (1 = SMOOTH, 9 = SERRATE)",2 - SAUCER SHAPED,3 - GREEN YELLOW,0 - ABSENT,1 - WHITE,1,0 - NONE,4,0 - ABSENT,2.0,9 - ERECT,M - MIXED,5.4,2,2 - GREEN,0 - GLABROUS,"5 - (1 = SMOOTH, 9 = CURLED)",M,2 - RED,1 - PRESENT,9 - ERECT,M - MIXED,1 - STRAW,0 - ABSENT,1 - GREEN,9 - MULTIPLE,3 - SPARSE,5 - SAME LEVEL,,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",MIX - MIXED,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),9 - HIGH,0 - ABSENT,1 - PRESENT,,,1 - YELLOW,1 - WHITE OR PALE YELLOW,1 - GREEN,5,0.2,,,5 - PUNGENT,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276040,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276040,PI 368440,Capsicum annuum L.,"7 - Brown roots, large lesions on stems, girdling, whole plant wilted and stunted",,,,,,,,2 - SAUCER SHAPED,,,,,,14,,1.0,1 - PENDANT,1 - ELONGATE,,2,,,,,2 - RED,,,,,,,,,,1 - EARLY,,PAP - PAPRIKA,,9 - HIGH,,,35,30,,,,,,6 - 36% to 50% visible egg masses present on root system,6 - 36% to 50% of root system galled,1 - SWEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515319,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1515319,PI 593531,Capsicum annuum L.,"7 - Brown roots, large lesions on stems, girdling, whole plant wilted and stunted",,,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",1 - PRESENT,"3 - (1 = POINTED, 9 = SUNKEN)",0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",,0 - ABSENT,0 - ABSENT,1 - WHITE,M,0 - NONE,,0 - ABSENT,,1 - PENDANT,4 - CONIC,,,1 - DARK GREEN,,1 - SMOOTH,M,2 - RED,1 - PRESENT,M - MIXED,5 - FLAT,1 - STRAW,,1 - GREEN,9 - MULTIPLE,9 - EXCESSIVE,9 - EXSERTED,,,,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),,,1 - PRESENT,,,3 - BLUE,1 - WHITE OR PALE YELLOW,1 - GREEN,5,,,,,HARVESTED-FRUIT - Image of harvested fruit,,,,,,4 - 76 to 100% discoloration in the absence of foliar symptoms,4 - 76 to 100% discoloration in the absence of foliar symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334267,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1334267,PI 439331,Capsicum annuum L.,"6 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276006,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276006,PI 368406,Capsicum annuum L.,9 - Dead plants,,,,,,,,2 - SAUCER SHAPED,,,,,,16,,1.0,M - MIXED,1 - ELONGATE,,2,,,,,2 - RED,,,,,,,,,,1 - EARLY,,CHL - CHILI,,9 - HIGH,,,60,60,,,,,,,,5 - PUNGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252733,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1252733,PI 339121,Capsicum annuum L.,9 - Dead plants,,,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",0 - ABSENT,M - MIXED,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",2 - SAUCER SHAPED,0 - ABSENT,0 - ABSENT,1 - WHITE,1,0 - NONE,8,0 - ABSENT,1.0,9 - ERECT,6 - BELL,,5,2 - GREEN,,1 - SMOOTH,M,2 - RED,1 - PRESENT,"5 - (1 = PENDANT, 9 = ERECT)",5 - FLAT,1 - STRAW,,1 - GREEN,1 - SINGLE,"1 - (0 = GLABROUS, 9 = EXCESSIVE)",9 - EXSERTED,1 - EARLY,,BEL - BELL,0 - SEPARATING CALYX (HAS Sp GENE),"3 - (1 = LOW,  9 = HIGH)",,0 - ABSENT,60,55,3 - BLUE,1 - WHITE OR PALE YELLOW,1 - GREEN,5,,,,1 - SWEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
