id,url,plant_id,latin_name,phytophthora root rot,determinate habit,plant habit,anther color,anthocyanin immature fruit,blossom end shape,calyx constriction,calyx margin,corolla color,corolla spots,cotyledon color,fasciculated,filament color,flowers per axil,fruit corkiness,fruit neck constriction,fruit position,fruit shape,immature fruit color,leaf texture,mature fruit color,node anthocyanin,peduncle insertion,peduncle length,seed color,stem color,stem number,stem pubescence,stigma exsertion,pungency,dwarfism,calyx shape,fruit length,fruit pods per node,fruit weight,fruit width,leaf pubescence,locule number,pedicel position at anthesis,stem anthocyanin,days to maturity,accession uniformity,commercial category,fruit persistance,fruit set,male sterility,core subset,image,error,plant height,plant width,wall thickness,degree of pungency,meloidogyne hapla egg,meloidogyne hapla gall,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),capsaicin content,dihydrocpasaicin content,total capsaicinoid content,flower angle,percent dry weight,beet curly top virus,alfalfa mosaic virus,bacterial leaf spot,cucumber mosiac virus,phytophthora,verticillium wilt
1010454,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010454,Grif 972,Capsicum annuum L.,"8 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",0 - ABSENT,"5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,0 - ABSENT,9 - SUNKEN,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,1 - PENDANT,6 - BELL,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,9 - INSERTED,4,1 - STRAW,1 - GREEN,1 - SINGLE,"2 - (0 = GLABROUS, 9 = EXCESSIVE)",5 - SAME LEVEL,0 - ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010461,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010461,Grif 973,Capsicum annuum L.,9 - Dead plants,0 - ABSENT,"5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,1 - PRESENT,9 - SUNKEN,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,M - MIXED,6 - BELL,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,9 - INSERTED,4,1 - STRAW,1 - GREEN,1 - SINGLE,0 - GLABROUS,5 - SAME LEVEL,0 - ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010468,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010468,PI 631126,Capsicum annuum L.,"7 - Brown roots, large lesions on stems, girdling, whole plant wilted and stunted",0 - ABSENT,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",,0 - ABSENT,"7 - (1 = POINTED, 9 = SUNKEN)",0 - ABSENT,1 - SMOOTH,,0 - ABSENT,1 - GREEN,1 - PRESENT,1 - WHITE,1,"2 - (0 = NONE, 9 = HIGH)",0 - ABSENT,5 - MEDIUM,6 - BELL,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,9 - INSERTED,,1 - STRAW,1 - GREEN,"3 - (1 = SINGLE, 9 = MULTIPLE)",0 - GLABROUS,"7 - (1 = INSERTED, 9 = EXSERTED)",0 - ABSENT,0 - ABSENT,2 - SAUCER SHAPED,10,1.0,130,7,0 - GLABROUS,3,"5 - (1 = PENDANT, 9 = ERECT)",0 - ABSENT,"7 - (1 = EARLY, 9 = VERY LATE)","7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",BEL - BELL,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"3 - (1 = LOW,  9 = HIGH)",0 - ABSENT,"Y - YES, ACCESSION IS PART OF THE CORE",,,,,,,,,,,,,,,,,,,,,
1010480,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010480,PI 631127,Capsicum annuum L.,9 - Dead plants,1 - AT LEAST 75% OF FRUITS MATURE AT ONCE,"5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,0 - ABSENT,9 - SUNKEN,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,1 - PENDANT,6 - BELL,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,9 - INSERTED,4,1 - STRAW,1 - GREEN,1 - SINGLE,0 - GLABROUS,5 - SAME LEVEL,0 - ABSENT,0 - ABSENT,2 - SAUCER SHAPED,7.5,1.0,100,7.5,0 - GLABROUS,3,1 - PENDANT,0 - ABSENT,1 - EARLY,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",BEL - BELL,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"3 - (1 = LOW,  9 = HIGH)",0 - ABSENT,,,,,,,,,,,,,,,,,,,,,,
1012450,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1012450,PI 631128,Capsicum annuum L.,9 - Dead plants,1 - AT LEAST 75% OF FRUITS MATURE AT ONCE,9 - TALL OR UPRIGHT,,0 - ABSENT,1 - POINTED,1 - PRESENT,"3 - (1 = SMOOTH, 9 = SERRATE)",,0 - ABSENT,,1 - PRESENT,1 - WHITE,1,"2 - (0 = NONE, 9 = HIGH)",1 - PRESENT,1 - PENDANT,6 - BELL,3 - GREEN YELLOW,1 - SMOOTH,2 - RED,1 - PRESENT,"7 - (1 = PROTRUDED, 9 = INSERTED)",,1 - STRAW,1 - GREEN,1 - SINGLE,0 - GLABROUS,5 - SAME LEVEL,1 - PRESENT,0 - ABSENT,1 - CUP SHAPED,9,1.0,130,6,0 - GLABROUS,4,1 - PENDANT,1 - PRESENT,5 - MEDIUM,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",PIM - PIMIENTO,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"3 - (1 = LOW,  9 = HIGH)",0 - ABSENT,,,,,,,,,,,,,,,,,,,,,,
1014726,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014726,PI 639682,Capsicum galapagoense Hunz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - ABSENT,,,,,,,,,,,,,,,,"Y - YES, ACCESSION IS PART OF THE CORE",,,,,,,,,,,,,,,,,,,,,
1014756,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014756,PI 631131,Capsicum annuum L.,9 - Dead plants,0 - ABSENT,9 - TALL OR UPRIGHT,,0 - ABSENT,M - MIXED,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",,0 - ABSENT,1 - GREEN,1 - PRESENT,1 - WHITE,1,"1 - (0 = NONE, 9 = HIGH)",0 - ABSENT,1 - PENDANT,1 - ELONGATE,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,1 - PROTRUDED,,1 - STRAW,1 - GREEN,1 - SINGLE,0 - GLABROUS,"7 - (1 = INSERTED, 9 = EXSERTED)",1 - PRESENT,0 - ABSENT,1 - CUP SHAPED,11,1.0,27,3.75,0 - GLABROUS,3,1 - PENDANT,0 - ABSENT,5 - MEDIUM,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",CHL - CHILI,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"5 - (1 = LOW,  9 = HIGH)",0 - ABSENT,,,,,,,,,,,,,,,,,,,,,,
1014905,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014905,Grif 1590,Capsicum annuum L.,"5 - Brown roots, small lesions on stems, lower leaves wilted, stunted plants, partial girdling at stem base",,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",3 - BLUE,0 - ABSENT,1 - POINTED,0 - ABSENT,"7 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,1 - PENDANT,1 - ELONGATE,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,1 - PROTRUDED,5,1 - STRAW,1 - GREEN,9 - MULTIPLE,"1 - (0 = GLABROUS, 9 = EXCESSIVE)",9 - EXSERTED,1 - PRESENT,,,,,,,,M,1 - PENDANT,,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,
1014909,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014909,Grif 1591,Capsicum annuum L.,9 - Dead plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014922,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014922,Grif 1592,Capsicum annuum L.,9 - Dead plants,,"5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,0 - ABSENT,9 - SUNKEN,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,1 - PENDANT,6 - BELL,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,9 - INSERTED,5,1 - STRAW,1 - GREEN,"3 - (1 = SINGLE, 9 = MULTIPLE)",0 - GLABROUS,M - MIXED,1 - PRESENT,,,,,,,,M,"7 - (1 = PENDANT, 9 = ERECT)",,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,
