id,url,plant_id,latin_name,phytophthora root rot,determinate habit,plant habit,blossom end shape,calyx constriction,calyx margin,calyx shape,fasciculated,filament color,flowers per axil,fruit corkiness,fruit length,fruit neck constriction,fruit pods per node,fruit position,fruit shape,fruit weight,fruit width,immature fruit color,leaf pubescence,leaf texture,locule number,mature fruit color,node anthocyanin,pedicel position at anthesis,peduncle insertion,seed color,stem anthocyanin,stem color,stem number,stem pubescence,stigma exsertion,days to maturity,accession uniformity,fruit persistance,fruit set,pungency,plant height,plant width,anther color,corolla color,corolla spots,cotyledon color,peduncle length,wall thickness,meloidogyne hapla egg,meloidogyne hapla gall,degree of pungency,bacterial leaf spot,cucumber mosiac virus,tobacco etch virus,tobacco mosaic virus,verticillium wilt,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),anthocyanin immature fruit,capsaicin content,dihydrocpasaicin content,total capsaicinoid content,percent dry weight,beet curly top virus,phytophthora,dwarfism,flower angle,curly top virus,flower habit,fruit color_phy,fruit diameter,fruit surface,immature color,spines,maturation,leaf surface,male sterility,mosaic virus complex,alfalfa mosaic virus,anthracnose,alpha-linoleic acid (18:3alph),arachidic acid (20:0),behenic acid (22:0),gamma-linoleic acid (18:3gam),linoleic acid (18:2),myristic acid (14:0),oleic acid (18:1),palmitic acid (16:0),palmitoleic acid (16:1),seed oil percentage,stearic acid (18:0),seed shape,seed surface,photoperiod,root knot nematode,southern blight,growth habit,bract length in millimeters,branching index,inflorescence density,terminal inflorescence,hundred seed weight,number of seeds per gram
1012450,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1012450,PI 631128,Capsicum annuum L.,9.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,6.0,130.0,6.0,3.0,0.0,1.0,4.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,7.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209205,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1209205,PI 281306,Capsicum baccatum L. var. baccatum,,,5.0,,,3.0,1.0,,1.0,1.0,0.0,2.0,,2.0,1.0,4.0,0.6,1.0,2.0,0.0,1.0,,2.0,1.0,9.0,4.0,1.0,,1.0,9.0,,5.0,8.0,5.0,0.0,5.0,1.0,70.0,60.0,1.0,1.0,2.0,1.0,2.0,0.2,6.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225551,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1225551,PI 298654,Capsicum annuum L.,9.0,,5.0,5.0,,3.0,2.0,,1.0,1.0,0.0,8.0,,1.0,1.0,4.0,,5.0,2.0,,1.0,3.0,2.0,1.0,5.0,5.0,1.0,,1.0,1.0,0.0,5.0,8.0,,0.0,2.0,,55.0,60.0,3.0,1.0,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180150,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1180150,PI 223035,Capsicum annuum L.,9.0,,,,,,1.0,,,,,4.0,,1.0,1.0,1.0,,2.0,,,,,2.0,,,,,,,,,,5.0,,,4.0,,70.0,40.0,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336492,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336492,PI 441556,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,,5.0,,1.0,2.0,2.0,,1.0,1.0,0.0,4.0,,2.0,9.0,,5.4,2.0,2.0,0.0,5.0,,2.0,1.0,9.0,,1.0,,1.0,9.0,3.0,5.0,,7.0,1.0,9.0,1.0,,,1.0,1.0,3.0,1.0,5.0,0.2,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276040,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276040,PI 368440,Capsicum annuum L.,7.0,,,,,,2.0,,,,,14.0,,1.0,1.0,1.0,,2.0,,,,,2.0,,,,,,,,,,1.0,,,9.0,,35.0,30.0,,,,,,,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515319,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1515319,PI 593531,Capsicum annuum L.,7.0,,7.0,3.0,,5.0,,,1.0,,0.0,,,,1.0,4.0,,,1.0,,1.0,,2.0,1.0,,5.0,1.0,,1.0,9.0,9.0,9.0,,,1.0,,1.0,,,3.0,1.0,,1.0,5.0,,,,,,,,,,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334267,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1334267,PI 439331,Capsicum annuum L.,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276006,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276006,PI 368406,Capsicum annuum L.,9.0,,,,,,2.0,,,,,16.0,,1.0,,1.0,,2.0,,,,,2.0,,,,,,,,,,1.0,,,9.0,,60.0,60.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252733,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1252733,PI 339121,Capsicum annuum L.,9.0,,7.0,,,5.0,2.0,,1.0,1.0,0.0,8.0,,1.0,9.0,6.0,,5.0,2.0,,1.0,,2.0,1.0,5.0,5.0,1.0,,1.0,1.0,1.0,9.0,1.0,,0.0,3.0,,60.0,55.0,3.0,1.0,,1.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
