id,url,plant_id,latin_name,phytophthora root rot,plant habit,anther color,blossom end shape,calyx margin,corolla color,cotyledon color,filament color,flowers per axil,fruit corkiness,fruit position,fruit shape,immature fruit color,leaf texture,mature fruit color,node anthocyanin,peduncle insertion,peduncle length,seed color,stem color,stem number,stem pubescence,stigma exsertion,anthocyanin immature fruit,calyx shape,fasciculated,fruit length,fruit pods per node,fruit weight,fruit width,leaf pubescence,locule number,pedicel position at anthesis,days to maturity,accession uniformity,fruit persistance,fruit set,determinate habit,calyx constriction,fruit neck constriction,stem anthocyanin,pungency,plant height,plant width,wall thickness,degree of pungency,meloidogyne hapla egg,meloidogyne hapla gall,male sterility,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),capsaicin content,dihydrocpasaicin content,total capsaicinoid content,corolla spots,flower angle,percent dry weight,beet curly top virus,alfalfa mosaic virus,dwarfism,bacterial leaf spot,cucumber mosiac virus,phytophthora,verticillium wilt
1010454,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010454,Grif 972,Capsicum annuum L.,8.0,5.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,9.0,4.0,1.0,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010461,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010461,Grif 973,Capsicum annuum L.,9.0,5.0,3.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,,6.0,2.0,1.0,2.0,1.0,9.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010468,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010468,PI 631126,Capsicum annuum L.,7.0,7.0,,7.0,1.0,,1.0,1.0,1.0,2.0,5.0,6.0,2.0,1.0,2.0,1.0,9.0,,1.0,1.0,3.0,0.0,7.0,,2.0,1.0,10.0,1.0,130.0,7.0,0.0,3.0,5.0,7.0,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010480,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1010480,PI 631127,Capsicum annuum L.,9.0,5.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,9.0,4.0,1.0,1.0,1.0,0.0,5.0,,2.0,,7.5,1.0,100.0,7.5,0.0,3.0,1.0,1.0,7.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1012450,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1012450,PI 631128,Capsicum annuum L.,9.0,9.0,,1.0,3.0,,,1.0,1.0,2.0,1.0,6.0,3.0,1.0,2.0,1.0,7.0,,1.0,1.0,1.0,0.0,5.0,,1.0,1.0,9.0,1.0,130.0,6.0,0.0,4.0,1.0,5.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1014726,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014726,PI 639682,Capsicum galapagoense Hunz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014756,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014756,PI 631131,Capsicum annuum L.,9.0,9.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,0.0,7.0,,1.0,1.0,11.0,1.0,27.0,3.75,0.0,3.0,1.0,5.0,7.0,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1014905,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014905,Grif 1590,Capsicum annuum L.,5.0,7.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,1.0,9.0,,,,,,,,,,1.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1014909,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014909,Grif 1591,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014922,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014922,Grif 1592,Capsicum annuum L.,9.0,5.0,3.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,9.0,5.0,1.0,1.0,3.0,0.0,,,,,,,,,,,7.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1014926,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014926,Grif 1593,Capsicum annuum L.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014937,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014937,Grif 1594,Capsicum annuum L.,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014941,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014941,Grif 1595,Capsicum annuum L.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014952,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014952,Grif 1596,Capsicum annuum L.,5.0,7.0,3.0,,7.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,9.0,,,,,,,,,3.0,5.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1014957,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014957,Grif 1597,Capsicum annuum L.,2.0,5.0,3.0,7.0,3.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1014967,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014967,Grif 1598,Capsicum annuum L.,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
